ZIPCODE,Estimate!!Total!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!AGE!!5 to 9 years,Estimate!!Total!!Total population!!AGE!!10 to 14 years,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!AGE!!35 to 39 years,Estimate!!Total!!Total population!!AGE!!40 to 44 years,Estimate!!Total!!Total population!!AGE!!45 to 49 years,Estimate!!Total!!Total population!!AGE!!50 to 54 years,Estimate!!Total!!Total population!!AGE!!55 to 59 years,Estimate!!Total!!Total population!!AGE!!60 to 64 years,Estimate!!Total!!Total population!!AGE!!65 to 69 years,Estimate!!Total!!Total population!!AGE!!70 to 74 years,Estimate!!Total!!Total population!!AGE!!75 to 79 years,Estimate!!Total!!Total population!!AGE!!80 to 84 years,Estimate!!Total!!Total population!!AGE!!85 years and over,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!16 years and over,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!18 years and over,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!21 years and over,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!60 years and over,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!62 years and over,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!65 years and over,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!75 years and over,Estimate!!Male!!Total population,Estimate!!Male!!Total population!!AGE!!Under 5 years,Estimate!!Male!!Total population!!AGE!!5 to 9 years,Estimate!!Male!!Total population!!AGE!!10 to 14 years,Estimate!!Male!!Total population!!AGE!!15 to 19 years,Estimate!!Male!!Total population!!AGE!!20 to 24 years,Estimate!!Male!!Total population!!AGE!!25 to 29 years,Estimate!!Male!!Total population!!AGE!!30 to 34 years,Estimate!!Male!!Total population!!AGE!!35 to 39 years,Estimate!!Male!!Total population!!AGE!!40 to 44 years,Estimate!!Male!!Total population!!AGE!!45 to 49 years,Estimate!!Male!!Total population!!AGE!!50 to 54 years,Estimate!!Male!!Total population!!AGE!!55 to 59 years,Estimate!!Male!!Total population!!AGE!!60 to 64 years,Estimate!!Male!!Total population!!AGE!!65 to 69 years,Estimate!!Male!!Total population!!AGE!!70 to 74 years,Estimate!!Male!!Total population!!AGE!!75 to 79 years,Estimate!!Male!!Total population!!AGE!!80 to 84 years,Estimate!!Male!!Total population!!AGE!!85 years and over,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!16 years and over,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!18 years and over,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!21 years and over,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!60 years and over,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!62 years and over,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!65 years and over,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!75 years and over,Estimate!!Female!!Total population,Estimate!!Female!!Total population!!AGE!!Under 5 years,Estimate!!Female!!Total population!!AGE!!5 to 9 years,Estimate!!Female!!Total population!!AGE!!10 to 14 years,Estimate!!Female!!Total population!!AGE!!15 to 19 years,Estimate!!Female!!Total population!!AGE!!20 to 24 years,Estimate!!Female!!Total population!!AGE!!25 to 29 years,Estimate!!Female!!Total population!!AGE!!30 to 34 years,Estimate!!Female!!Total population!!AGE!!35 to 39 years,Estimate!!Female!!Total population!!AGE!!40 to 44 years,Estimate!!Female!!Total population!!AGE!!45 to 49 years,Estimate!!Female!!Total population!!AGE!!50 to 54 years,Estimate!!Female!!Total population!!AGE!!55 to 59 years,Estimate!!Female!!Total population!!AGE!!60 to 64 years,Estimate!!Female!!Total population!!AGE!!65 to 69 years,Estimate!!Female!!Total population!!AGE!!70 to 74 years,Estimate!!Female!!Total population!!AGE!!75 to 79 years,Estimate!!Female!!Total population!!AGE!!80 to 84 years,Estimate!!Female!!Total population!!AGE!!85 years and over,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!16 years and over,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!18 years and over,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!21 years and over,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!60 years and over,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!62 years and over,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!65 years and over,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!75 years and over
83,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,0,0
10001,13640,319,217,297,992,1401,1579,1317,932,907,965,800,847,767,578,616,534,222,350,514,252,1085,2141,7128,12773,12555,11613,3067,2729,2300,1106,6697,207,71,246,282,659,668,778,485,573,528,446,392,436,269,176,298,90,93,317,106,630,835,3445,6148,6067,5797,1362,1204,926,481,6943,112,146,51,710,742,911,539,447,334,437,354,455,331,309,440,236,132,257,197,146,455,1306,3683,6625,6488,5816,1705,1525,1374,625
10002,64787,2204,2018,2452,2113,4090,7059,5282,4182,3654,4134,3443,4352,4664,4113,3176,2351,2710,2790,4470,1233,7907,4970,26380,57831,56880,55467,19804,17699,15140,7851,30436,1183,1252,1279,1063,1949,2967,2972,2237,1420,2191,1680,2016,1866,1811,1347,921,1340,942,2531,651,4365,2361,12608,26598,26071,25352,8227,7512,6361,3203,34351,1021,766,1173,1050,2141,4092,2310,1945,2234,1943,1763,2336,2798,2302,1829,1430,1370,1848,1939,582,3542,2609,13772,31233,30809,30115,11577,10187,8779,4648
10003,52834,1483,906,549,6945,5651,7467,5784,3944,2663,2474,2398,2486,3043,2430,1730,1362,719,800,1455,491,3429,12105,32454,49781,49405,41160,10084,8925,7041,2881,26341,840,447,370,2853,2407,3800,3212,2387,1465,1370,1352,1373,1318,1024,739,697,324,363,817,267,1924,4993,16124,24591,24417,21148,4465,4035,3147,1384,26493,643,459,179,4092,3244,3667,2572,1557,1198,1104,1046,1113,1725,1406,991,665,395,437,638,224,1505,7112,16330,25190,24988,20012,5619,4890,3894,1497
10004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10006,4455,128,199,84,89,311,833,707,550,442,511,167,190,143,21,34,0,0,46,283,43,454,357,2932,4001,4001,3955,244,171,101,46,1980,61,97,35,37,125,393,256,232,183,201,94,165,64,21,16,0,0,0,132,28,221,134,1226,1759,1759,1750,101,77,37,0,2475,67,102,49,52,186,440,451,318,259,310,73,25,79,0,18,0,0,46,151,15,233,223,1706,2242,2242,2205,143,94,64,46
10007,15115,997,779,467,499,1457,1282,1728,1565,1308,1093,635,685,583,453,446,327,320,491,1246,122,2365,1834,7839,12823,12750,11764,2620,2372,2037,1138,8165,494,495,280,228,765,632,945,882,785,648,439,332,272,270,251,180,44,223,775,82,1351,911,4237,6875,6814,6362,1240,1122,968,447,6950,503,284,187,271,692,650,783,683,523,445,196,353,311,183,195,147,276,268,471,40,1014,923,3602,5948,5936,5402,1380,1250,1069,691
10009,33620,672,402,1255,960,3086,6009,4305,2609,2119,2018,1828,2118,1292,1638,916,808,680,905,1657,737,3066,3309,19088,31026,30554,30086,6239,5713,4947,2393,16518,355,216,618,485,1254,3083,2514,1311,856,1131,772,1087,606,750,479,469,225,307,834,458,1647,1281,9503,15182,14871,14743,2836,2652,2230,1001,17102,317,186,637,475,1832,2926,1791,1298,1263,887,1056,1031,686,888,437,339,455,598,823,279,1419,2028,9585,15844,15683,15343,3403,3061,2717,1392
10010,24084,914,476,328,1119,2380,4578,3158,2566,1462,829,1522,1346,669,1049,728,260,329,371,804,115,1833,3384,15263,22340,22251,20841,3406,3081,2737,960,12241,566,240,123,513,1270,1861,1826,1321,813,497,730,769,278,616,349,139,141,189,363,53,982,1730,7604,11286,11259,10636,1712,1559,1434,469,11843,348,236,205,606,1110,2717,1332,1245,649,332,792,577,391,433,379,121,188,182,441,62,851,1654,7659,11054,10992,10205,1694,1522,1303,491
10011,61546,1917,1402,1526,1717,3485,7447,9026,4956,4122,4417,3470,4820,4179,2602,2118,2024,1178,1140,2928,803,5648,4399,30753,56337,55898,54523,13241,11442,9062,4342,31722,873,695,877,898,1287,3506,4242,2933,2381,2310,2101,2773,2558,1383,957,861,599,488,1572,406,2851,1779,15247,29180,28871,28221,6846,5903,4288,1948,29824,1044,707,649,819,2198,3941,4784,2023,1741,2107,1369,2047,1621,1219,1161,1163,579,652,1356,397,2797,2620,15506,27157,27027,26302,6395,5539,4774,2394
10012,21261,773,344,382,1044,2222,3529,2768,1576,1140,1050,1360,904,889,1277,811,573,331,288,726,361,1860,2905,12279,19662,19401,18496,4169,3815,3280,1192,9900,369,168,226,507,1137,1134,1339,736,603,622,742,413,485,471,438,201,181,128,394,175,938,1469,5456,9086,8962,8537,1904,1766,1419,510,11361,404,176,156,537,1085,2395,1429,840,537,428,618,491,404,806,373,372,150,160,332,186,922,1436,6823,10576,10439,9959,2265,2049,1861,682
10013,16675,834,654,561,473,1317,2021,1737,1546,1057,1199,924,1030,886,933,444,325,154,580,1215,120,2169,1670,8151,14613,14506,14017,3322,2837,2436,1059,8506,451,227,366,188,613,1090,839,958,473,576,507,530,484,534,199,212,74,185,593,30,1074,771,4161,7462,7432,7222,1688,1405,1204,471,8169,383,427,195,285,704,931,898,588,584,623,417,500,402,399,245,113,80,395,622,90,1095,899,3990,7151,7074,6795,1634,1432,1232,588
